City/province,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lai Chau,23.3,23.2,23,23.8,24,23.6,20.2,19.9,20.1,20.6,20.2,19.7,20,20.9
Son La,21.8,21.5,20.7,21.9,22.1,20.6,21.9,21.4,21.8,22.3,21.9,21.7,21.6,22.7
Tuyen Quang,24,24,23.2,24.2,24.2,22.8,23.8,23.8,24,24.8,24.4,24.2,24.4,25
Ha Noi,24.7,24.6,23.7,24.9,24.9,23.3,24.3,24.4,24.6,25.3,25.2,25.1,25.1,25.9
Bai Chay,23.9,23.8,23.1,24,24,22.6,23.5,23.5,23.7,24.4,24,24,24,24.8
Nam Dinh,24.4,24.2,23.3,24.4,24.6,22.9,24,23.8,24.2,25,24.6,24.4,24.5,25.3
Vinh,25.1,24.9,24.1,25,25.3,23.3,24.8,24.5,24.8,25.5,24.9,24.9,24.9,26.2
Hue,25.4,25,24.2,25,25.4,23.8,25.3,25,25.3,25.7,25.4,25.1,25.1,26.4
Da Nang,26.3,26.2,25.5,26.3,26.3,25.2,26.5,26.2,26.3,26.7,26.6,26.5,26.5,27.3
Qui Nhon,27.4,27,26.8,27.2,27.4,26.9,27.7,27.2,27.2,27.5,27.4,27.4,27.6,28.1
Pleiku,22.3,22.2,21.8,22,22,21.6,22.5,22.4,22.4,22.9,23.3,22.8,22.6,22.9
Da Lat,18.3,18.1,18,18.2,18.2,18.1,18.5,18.4,18.2,18.5,19,18.7,18.4,18.5
Nha Trang,27.2,26.7,26.6,27,27.4,26.7,27.5,27.2,27.1,27.4,27.5,27.4,27.4,27.9
Vung Tau,28,27.8,27.7,27.7,27.7,27.5,28,28,27.9,28.1,28.3,28,27.9,28.2
Ca Mau,27.6,27.5,27.2,27.5,27.5,27.5,27.7,27.8,27.7,28,28.2,27.9,27.9,28.1
