"provinceid","province","areaid","district","year","month","date","cases","year_useable_from","population","population_urban","incidence","yeardengue","monthdengue"
80016,"Ha Noi","70126","Soc Son",1998,5,"1998-05-01",0,1998,216232,3036,0,1998,1
80016,"Ha Noi","70126","Soc Son",1998,6,"1998-06-01",0,1998,216232,3036,0,1998,2
80016,"Ha Noi","70126","Soc Son",1998,7,"1998-07-01",0,1998,216232,3036,0,1998,3
80016,"Ha Noi","70126","Soc Son",1998,8,"1998-08-01",0,1998,216232,3036,0,1998,4
80016,"Ha Noi","70126","Soc Son",1998,9,"1998-09-01",1,1998,216232,3036,0.462466239964483,1998,5
80016,"Ha Noi","70126","Soc Son",1998,10,"1998-10-01",2,1998,216232,3036,0.924932479928965,1998,6
80016,"Ha Noi","70126","Soc Son",1998,11,"1998-11-01",2,1998,216232,3036,0.924932479928965,1998,7
80016,"Ha Noi","70126","Soc Son",1998,12,"1998-12-01",1,1998,216232,3036,0.462466239964483,1998,8
80016,"Ha Noi","70126","Soc Son",1999,1,"1999-01-01",0,1998,221988,3117,0,1998,9
80016,"Ha Noi","70126","Soc Son",1999,2,"1999-02-01",0,1998,221988,3117,0,1998,10
80016,"Ha Noi","70126","Soc Son",1999,3,"1999-03-01",0,1998,221988,3117,0,1998,11
80016,"Ha Noi","70126","Soc Son",1999,4,"1999-04-01",0,1998,221988,3117,0,1998,12
80016,"Ha Noi","70126","Soc Son",1999,5,"1999-05-01",0,1998,221988,3117,0,1999,1
80016,"Ha Noi","70126","Soc Son",1999,6,"1999-06-01",0,1998,221988,3117,0,1999,2
80016,"Ha Noi","70126","Soc Son",1999,7,"1999-07-01",0,1998,221988,3117,0,1999,3
80016,"Ha Noi","70126","Soc Son",1999,8,"1999-08-01",0,1998,221988,3117,0,1999,4
80016,"Ha Noi","70126","Soc Son",1999,9,"1999-09-01",0,1998,221988,3117,0,1999,5
80016,"Ha Noi","70126","Soc Son",1999,10,"1999-10-01",0,1998,221988,3117,0,1999,6
80016,"Ha Noi","70126","Soc Son",1999,11,"1999-11-01",0,1998,221988,3117,0,1999,7
80016,"Ha Noi","70126","Soc Son",1999,12,"1999-12-01",0,1998,221988,3117,0,1999,8
80016,"Ha Noi","70126","Soc Son",2000,1,"2000-01-01",0,1998,227744,3199,0,1999,9
80016,"Ha Noi","70126","Soc Son",2000,2,"2000-02-01",0,1998,227744,3199,0,1999,10
80016,"Ha Noi","70126","Soc Son",2000,3,"2000-03-01",0,1998,227744,3199,0,1999,11
80016,"Ha Noi","70126","Soc Son",2000,4,"2000-04-01",0,1998,227744,3199,0,1999,12
80016,"Ha Noi","70126","Soc Son",2000,5,"2000-05-01",0,1998,227744,3199,0,2000,1
80016,"Ha Noi","70126","Soc Son",2000,6,"2000-06-01",2,1998,227744,3199,0.878179008008993,2000,2
80016,"Ha Noi","70126","Soc Son",2000,7,"2000-07-01",0,1998,227744,3199,0,2000,3
80016,"Ha Noi","70126","Soc Son",2000,8,"2000-08-01",0,1998,227744,3199,0,2000,4
80016,"Ha Noi","70126","Soc Son",2000,9,"2000-09-01",0,1998,227744,3199,0,2000,5
80016,"Ha Noi","70126","Soc Son",2000,10,"2000-10-01",0,1998,227744,3199,0,2000,6
80016,"Ha Noi","70126","Soc Son",2000,11,"2000-11-01",0,1998,227744,3199,0,2000,7
80016,"Ha Noi","70126","Soc Son",2000,12,"2000-12-01",0,1998,227744,3199,0,2000,8
80016,"Ha Noi","70126","Soc Son",2001,1,"2001-01-01",0,1998,233500,3281,0,2000,9
80016,"Ha Noi","70126","Soc Son",2001,2,"2001-02-01",0,1998,233500,3281,0,2000,10
80016,"Ha Noi","70126","Soc Son",2001,3,"2001-03-01",0,1998,233500,3281,0,2000,11
80016,"Ha Noi","70126","Soc Son",2001,4,"2001-04-01",1,1998,233500,3281,0.428265524625268,2000,12
80016,"Ha Noi","70126","Soc Son",2001,5,"2001-05-01",1,1998,233500,3281,0.428265524625268,2001,1
80016,"Ha Noi","70126","Soc Son",2001,6,"2001-06-01",0,1998,233500,3281,0,2001,2
80016,"Ha Noi","70126","Soc Son",2001,7,"2001-07-01",1,1998,233500,3281,0.428265524625268,2001,3
80016,"Ha Noi","70126","Soc Son",2001,8,"2001-08-01",1,1998,233500,3281,0.428265524625268,2001,4
80016,"Ha Noi","70126","Soc Son",2001,9,"2001-09-01",0,1998,233500,3281,0,2001,5
80016,"Ha Noi","70126","Soc Son",2001,10,"2001-10-01",0,1998,233500,3281,0,2001,6
80016,"Ha Noi","70126","Soc Son",2001,11,"2001-11-01",0,1998,233500,3281,0,2001,7
80016,"Ha Noi","70126","Soc Son",2001,12,"2001-12-01",0,1998,233500,3281,0,2001,8
80016,"Ha Noi","70126","Soc Son",2002,1,"2002-01-01",0,1998,239256,3363,0,2001,9
80016,"Ha Noi","70126","Soc Son",2002,2,"2002-02-01",0,1998,239256,3363,0,2001,10
80016,"Ha Noi","70126","Soc Son",2002,3,"2002-03-01",0,1998,239256,3363,0,2001,11
80016,"Ha Noi","70126","Soc Son",2002,4,"2002-04-01",0,1998,239256,3363,0,2001,12
80016,"Ha Noi","70126","Soc Son",2002,5,"2002-05-01",1,1998,239256,3363,0.417962349951516,2002,1
80016,"Ha Noi","70126","Soc Son",2002,6,"2002-06-01",0,1998,239256,3363,0,2002,2
