"date","season","oni_3.4","dmi_3m"
1950-02-01,"DJF",-1.53,NA
1950-03-01,"JFM",-1.34,NA
1950-04-01,"FMA",-1.16,NA
1950-05-01,"MAM",-1.18,NA
1950-06-01,"AMJ",-1.07,NA
1950-07-01,"MJJ",-0.85,NA
1950-08-01,"JJA",-0.54,NA
1950-09-01,"JAS",-0.42,NA
1950-10-01,"ASO",-0.39,NA
1950-11-01,"SON",-0.44,NA
1950-12-01,"OND",-0.6,NA
1951-01-01,"NDJ",-0.8,NA
1951-02-01,"DJF",-0.82,NA
1951-03-01,"JFM",-0.54,NA
1951-04-01,"FMA",-0.17,NA
1951-05-01,"MAM",0.18,NA
1951-06-01,"AMJ",0.36,NA
1951-07-01,"MJJ",0.58,NA
1951-08-01,"JJA",0.7,NA
1951-09-01,"JAS",0.89,NA
1951-10-01,"ASO",0.99,NA
1951-11-01,"SON",1.15,NA
1951-12-01,"OND",1.04,NA
1952-01-01,"NDJ",0.81,NA
1952-02-01,"DJF",0.53,NA
1952-03-01,"JFM",0.37,NA
1952-04-01,"FMA",0.34,NA
1952-05-01,"MAM",0.29,NA
1952-06-01,"AMJ",0.2,NA
1952-07-01,"MJJ",0,NA
1952-08-01,"JJA",-0.08,NA
1952-09-01,"JAS",0,NA
1952-10-01,"ASO",0.15,NA
1952-11-01,"SON",0.1,NA
1952-12-01,"OND",0.04,NA
1953-01-01,"NDJ",0.15,NA
1953-02-01,"DJF",0.4,NA
1953-03-01,"JFM",0.6,NA
1953-04-01,"FMA",0.63,NA
1953-05-01,"MAM",0.66,NA
1953-06-01,"AMJ",0.75,NA
1953-07-01,"MJJ",0.77,NA
1953-08-01,"JJA",0.75,NA
1953-09-01,"JAS",0.73,NA
1953-10-01,"ASO",0.78,NA
1953-11-01,"SON",0.84,NA
1953-12-01,"OND",0.84,NA
1954-01-01,"NDJ",0.81,NA
1954-02-01,"DJF",0.76,NA
1954-03-01,"JFM",0.47,NA
1954-04-01,"FMA",-0.05,NA
1954-05-01,"MAM",-0.41,NA
1954-06-01,"AMJ",-0.54,NA
1954-07-01,"MJJ",-0.5,NA
1954-08-01,"JJA",-0.64,NA
1954-09-01,"JAS",-0.84,NA
1954-10-01,"ASO",-0.9,NA
1954-11-01,"SON",-0.77,NA
1954-12-01,"OND",-0.73,NA
1955-01-01,"NDJ",-0.66,NA
1955-02-01,"DJF",-0.68,NA
1955-03-01,"JFM",-0.62,NA
1955-04-01,"FMA",-0.69,NA
1955-05-01,"MAM",-0.8,NA
1955-06-01,"AMJ",-0.79,NA
1955-07-01,"MJJ",-0.72,NA
1955-08-01,"JJA",-0.68,NA
1955-09-01,"JAS",-0.75,NA
1955-10-01,"ASO",-1.09,NA
1955-11-01,"SON",-1.42,NA
1955-12-01,"OND",-1.67,NA
1956-01-01,"NDJ",-1.47,NA
1956-02-01,"DJF",-1.11,NA
1956-03-01,"JFM",-0.76,NA
1956-04-01,"FMA",-0.63,NA
1956-05-01,"MAM",-0.54,NA
1956-06-01,"AMJ",-0.52,NA
1956-07-01,"MJJ",-0.51,NA
1956-08-01,"JJA",-0.57,NA
1956-09-01,"JAS",-0.55,NA
1956-10-01,"ASO",-0.46,NA
1956-11-01,"SON",-0.42,NA
1956-12-01,"OND",-0.43,NA
1957-01-01,"NDJ",-0.43,NA
1957-02-01,"DJF",-0.25,NA
1957-03-01,"JFM",0.06,NA
1957-04-01,"FMA",0.41,NA
1957-05-01,"MAM",0.72,NA
1957-06-01,"AMJ",0.92,NA
1957-07-01,"MJJ",1.11,NA
1957-08-01,"JJA",1.25,NA
1957-09-01,"JAS",1.32,NA
1957-10-01,"ASO",1.33,NA
1957-11-01,"SON",1.39,NA
1957-12-01,"OND",1.53,NA
1958-01-01,"NDJ",1.74,NA
1958-02-01,"DJF",1.81,NA
1958-03-01,"JFM",1.66,NA
1958-04-01,"FMA",1.27,NA
1958-05-01,"MAM",0.93,NA
1958-06-01,"AMJ",0.74,NA
1958-07-01,"MJJ",0.64,NA
1958-08-01,"JJA",0.57,NA
1958-09-01,"JAS",0.43,NA
1958-10-01,"ASO",0.39,NA
1958-11-01,"SON",0.44,NA
1958-12-01,"OND",0.5,NA
1959-01-01,"NDJ",0.61,NA
1959-02-01,"DJF",0.61,NA
1959-03-01,"JFM",0.62,NA
1959-04-01,"FMA",0.52,NA
1959-05-01,"MAM",0.33,NA
1959-06-01,"AMJ",0.2,NA
1959-07-01,"MJJ",-0.07,NA
1959-08-01,"JJA",-0.18,NA
1959-09-01,"JAS",-0.28,NA
1959-10-01,"ASO",-0.09,NA
1959-11-01,"SON",-0.03,NA
1959-12-01,"OND",0.05,NA
1960-01-01,"NDJ",-0.04,NA
1960-02-01,"DJF",-0.1,NA
1960-03-01,"JFM",-0.1,NA
1960-04-01,"FMA",-0.07,NA
1960-05-01,"MAM",0.03,NA
1960-06-01,"AMJ",0.02,NA
1960-07-01,"MJJ",0.03,NA
1960-08-01,"JJA",0.13,NA
1960-09-01,"JAS",0.24,NA
1960-10-01,"ASO",0.27,NA
1960-11-01,"SON",0.2,NA
1960-12-01,"OND",0.12,NA
1961-01-01,"NDJ",0.05,NA
1961-02-01,"DJF",0.04,NA
1961-03-01,"JFM",0.03,NA
1961-04-01,"FMA",0.04,NA
1961-05-01,"MAM",0.09,NA
1961-06-01,"AMJ",0.23,NA
1961-07-01,"MJJ",0.27,NA
1961-08-01,"JJA",0.14,NA
1961-09-01,"JAS",-0.13,NA
1961-10-01,"ASO",-0.3,NA
1961-11-01,"SON",-0.26,NA
1961-12-01,"OND",-0.19,NA
1962-01-01,"NDJ",-0.16,NA
1962-02-01,"DJF",-0.24,NA
1962-03-01,"JFM",-0.22,NA
1962-04-01,"FMA",-0.2,NA
1962-05-01,"MAM",-0.26,NA
1962-06-01,"AMJ",-0.28,NA
1962-07-01,"MJJ",-0.2,NA
1962-08-01,"JJA",-0.04,NA
1962-09-01,"JAS",-0.07,NA
1962-10-01,"ASO",-0.11,NA
1962-11-01,"SON",-0.22,NA
1962-12-01,"OND",-0.31,NA
1963-01-01,"NDJ",-0.43,NA
1963-02-01,"DJF",-0.4,NA
1963-03-01,"JFM",-0.15,NA
1963-04-01,"FMA",0.15,NA
1963-05-01,"MAM",0.27,NA
1963-06-01,"AMJ",0.31,NA
1963-07-01,"MJJ",0.52,NA
1963-08-01,"JJA",0.86,NA
1963-09-01,"JAS",1.14,NA
1963-10-01,"ASO",1.22,NA
1963-11-01,"SON",1.29,NA
1963-12-01,"OND",1.37,NA
1964-01-01,"NDJ",1.31,NA
1964-02-01,"DJF",1.07,NA
1964-03-01,"JFM",0.62,NA
1964-04-01,"FMA",0.12,NA
1964-05-01,"MAM",-0.33,NA
1964-06-01,"AMJ",-0.58,NA
1964-07-01,"MJJ",-0.58,NA
1964-08-01,"JJA",-0.6,NA
1964-09-01,"JAS",-0.66,NA
1964-10-01,"ASO",-0.76,NA
1964-11-01,"SON",-0.8,NA
1964-12-01,"OND",-0.82,NA
1965-01-01,"NDJ",-0.78,NA
1965-02-01,"DJF",-0.59,NA
1965-03-01,"JFM",-0.28,NA
1965-04-01,"FMA",-0.07,NA
1965-05-01,"MAM",0.18,NA
1965-06-01,"AMJ",0.46,NA
1965-07-01,"MJJ",0.83,NA
1965-08-01,"JJA",1.22,NA
1965-09-01,"JAS",1.54,NA
1965-10-01,"ASO",1.85,NA
1965-11-01,"SON",1.98,NA
1965-12-01,"OND",1.97,NA
1966-01-01,"NDJ",1.72,NA
1966-02-01,"DJF",1.37,NA
1966-03-01,"JFM",1.17,NA
1966-04-01,"FMA",0.98,NA
1966-05-01,"MAM",0.66,NA
1966-06-01,"AMJ",0.35,NA
1966-07-01,"MJJ",0.24,NA
1966-08-01,"JJA",0.24,NA
1966-09-01,"JAS",0.12,NA
1966-10-01,"ASO",-0.05,NA
1966-11-01,"SON",-0.1,NA
1966-12-01,"OND",-0.18,NA
1967-01-01,"NDJ",-0.3,NA
1967-02-01,"DJF",-0.41,NA
1967-03-01,"JFM",-0.48,NA
1967-04-01,"FMA",-0.53,NA
1967-05-01,"MAM",-0.45,NA
1967-06-01,"AMJ",-0.24,NA
1967-07-01,"MJJ",0,NA
1967-08-01,"JJA",0.05,NA
1967-09-01,"JAS",-0.16,NA
1967-10-01,"ASO",-0.3,NA
1967-11-01,"SON",-0.38,NA
1967-12-01,"OND",-0.34,NA
1968-01-01,"NDJ",-0.44,NA
1968-02-01,"DJF",-0.64,NA
1968-03-01,"JFM",-0.74,NA
1968-04-01,"FMA",-0.62,NA
1968-05-01,"MAM",-0.44,NA
1968-06-01,"AMJ",-0.04,NA
1968-07-01,"MJJ",0.28,NA
1968-08-01,"JJA",0.58,NA
1968-09-01,"JAS",0.53,NA
1968-10-01,"ASO",0.45,NA
1968-11-01,"SON",0.55,NA
1968-12-01,"OND",0.73,NA
1969-01-01,"NDJ",0.98,NA
1969-02-01,"DJF",1.13,NA
1969-03-01,"JFM",1.09,NA
1969-04-01,"FMA",0.95,NA
1969-05-01,"MAM",0.77,NA
1969-06-01,"AMJ",0.61,NA
1969-07-01,"MJJ",0.43,NA
1969-08-01,"JJA",0.36,NA
1969-09-01,"JAS",0.51,NA
1969-10-01,"ASO",0.79,NA
1969-11-01,"SON",0.86,NA
1969-12-01,"OND",0.81,NA
1970-01-01,"NDJ",0.63,NA
1970-02-01,"DJF",0.51,NA
1970-03-01,"JFM",0.34,NA
1970-04-01,"FMA",0.29,NA
1970-05-01,"MAM",0.19,NA
1970-06-01,"AMJ",0.04,NA
1970-07-01,"MJJ",-0.3,NA
1970-08-01,"JJA",-0.63,NA
1970-09-01,"JAS",-0.76,NA
1970-10-01,"ASO",-0.77,NA
1970-11-01,"SON",-0.74,NA
