"province","areaid","areanameen","total","urban","rural","year"
"Ha Giang","70000","Dong Van",52767.2178076806,180.809310237198,52586.4084974434,1998
"Ha Giang","70000","Dong Van",53820.3054318132,227.068902373571,53593.2365294397,1999
"Ha Giang","70000","Dong Van",54873.3930559459,285.05471391905,54588.3383420268,2000
"Ha Giang","70000","Dong Van",55926.4806800785,357.71636789919,55568.7643121793,2001
"Ha Giang","70000","Dong Van",56979.5683042111,448.740621768114,56530.827682443,2002
"Ha Giang","70000","Dong Van",58032.6559283438,562.734559084089,57469.9213692597,2003
"Ha Giang","70000","Dong Van",59085.7435524764,705.454088544753,58380.2894639317,2004
"Ha Giang","70000","Dong Van",60138.831176609,884.088908719309,59254.7422678897,2005
"Ha Giang","70000","Dong Van",61293.3733824568,1109.45423575058,60183.9191467062,2006
"Ha Giang","70000","Dong Van",62447.9155883045,1391.774018156,61056.1415701485,2007
"Ha Giang","70000","Dong Van",63602.4577941523,1745.33816617503,61857.1196279772,2008
"Ha Giang","70000","Dong Van",64757,2188,62569,2009
"Ha Giang","70000","Dong Van",66469,3042,63428,2010
"Ha Giang","70000","Dong Van",68182,3895,64287,2011
"Ha Giang","70000","Dong Van",69894,4748,65145,2012
"Ha Giang","70000","Dong Van",71606,5602,66004,2013
"Ha Giang","70000","Dong Van",73319,6456,66863,2014
"Ha Giang","70000","Dong Van",75031,7309,67722,2015
"Ha Giang","70000","Dong Van",76743,8162,68581,2016
"Ha Giang","70000","Dong Van",78455,9016,69439,2017
"Ha Giang","70000","Dong Van",80168,9870,70298,2018
"Ha Giang","70000","Dong Van",81880,10723,71157,2019
"Ha Giang","70000","Dong Van",83709,11870,71839,2020
"Ha Giang","70001","Meo Vac",57188.6392800509,3323.18824217148,53865.4510378794,1998
"Ha Giang","70001","Meo Vac",58328.1053382499,3444.34889327055,54883.7564449794,1999
"Ha Giang","70001","Meo Vac",59467.5713964489,3568.56455443941,55899.0068420095,2000
"Ha Giang","70001","Meo Vac",60607.037454648,3695.90243561801,56911.1350190299,2001
"Ha Giang","70001","Meo Vac",61746.503512847,3826.43112299715,57920.0723898498,2002
"Ha Giang","70001","Meo Vac",62885.969571046,3960.22060597709,58925.7489650689,2003
"Ha Giang","70001","Meo Vac",64025.435629245,4097.34230463838,59928.0933246067,2004
"Ha Giang","70001","Meo Vac",65164.9016874441,4237.86909773473,60927.0325897093,2005
"Ha Giang","70001","Meo Vac",66414.1762655831,4389.13229767869,62025.0439679044,2006
"Ha Giang","70001","Meo Vac",67663.450843722,4544.18613160147,63119.2647121206,2007
"Ha Giang","70001","Meo Vac",68912.725421861,4703.11374922351,64209.6116726375,2008
"Ha Giang","70001","Meo Vac",70162,4866,65296,2009
"Ha Giang","70001","Meo Vac",71753,5064,66688,2010
"Ha Giang","70001","Meo Vac",73344,5263,68081,2011
"Ha Giang","70001","Meo Vac",74935,5461,69473,2012
"Ha Giang","70001","Meo Vac",76526,5660,70866,2013
"Ha Giang","70001","Meo Vac",78116,5858,72258,2014
"Ha Giang","70001","Meo Vac",79707,6056,73651,2015
"Ha Giang","70001","Meo Vac",81298,6255,75043,2016
"Ha Giang","70001","Meo Vac",82889,6453,76436,2017
"Ha Giang","70001","Meo Vac",84480,6652,77828,2018
"Ha Giang","70001","Meo Vac",86071,6850,79221,2019
"Ha Giang","70001","Meo Vac",87757,7068,80689,2020
"Ha Giang","70002","Yen Minh",63236.2720649867,4400.12741979982,58836.1446451869,1998
"Ha Giang","70002","Yen Minh",64500.0172016197,4529.57282881979,59970.4443727999,1999
"Ha Giang","70002","Yen Minh",65763.7623382527,4661.03635363783,61102.7259846148,2000
"Ha Giang","70002","Yen Minh",67027.5074748857,4794.54425244369,62232.963222442,2001
"Ha Giang","70002","Yen Minh",68291.2526115186,4930.12309651673,63361.1295150019,2002
"Ha Giang","70002","Yen Minh",69554.9977481516,5067.7997737713,64487.1979743803,2003
"Ha Giang","70002","Yen Minh",70818.7428847846,5207.60149234084,65611.1413924438,2004
"Ha Giang","70002","Yen Minh",72082.4880214176,5349.55578420124,66732.9322372164,2005
"Ha Giang","70002","Yen Minh",73468.1160160632,5502.81963069086,67965.2963853723,2006
"Ha Giang","70002","Yen Minh",74853.7440107088,5658.46097516332,69195.2830355455,2007
"Ha Giang","70002","Yen Minh",76239.3720053544,5816.51068619688,70422.8613191575,2008
"Ha Giang","70002","Yen Minh",77625,5977,71648,2009
"Ha Giang","70002","Yen Minh",79618,6192,73426,2010
"Ha Giang","70002","Yen Minh",81611,6407,75203,2011
