"areaid","areanameen","areaprovin","traveltime_city","traveltime_airport"
"70000","Dong Van","Ha Giang",37.7129942380794,350.901327886466
"70001","Meo Vac","Ha Giang",58.0972841008098,331.322070975293
"70002","Yen Minh","Ha Giang",39.8407051086453,346.892189923216
"70003","Quan Ba","Ha Giang",55.0293347136308,311.984232446684
"70004","Ha Quang","Cao Bang",133.557238716641,280.076684201763
"70005","Bao Lam","Cao Bang",67.1772449198136,327.175769244446
"70006","Bao Lac","Cao Bang",34.3351336934498,286.020254664221
"70007","Trung Khanh","Cao Bang",126.31080322603,305.840969125278
"70008","Thong Nong","Cao Bang",93.512241954681,270.539946879976
"70009","Ha Giang","Ha Giang",65.7412942897644,248.598052306353
"70010","Tra Linh","Cao Bang",143.203477294367,273.972774663728
"70011","Vi Xuyen","Ha Giang",75.6238011391677,260.037879164687
"70012","Bac Me","Ha Giang",102.2979613215,324.707418769338
"70013","Ha Lang","Cao Bang",100.432321192088,325.286637929213
"70014","Hoang Su Phi","Ha Giang",124.058796585336,299.093246691313
"70015","Hoa An","Cao Bang",93.7047067074681,205.789616450251
"70016","Muong Khuong","Lao Cai",69.9788750164244,201.545088540496
"70017","Quang Uyen","Cao Bang",110.064392604106,265.613491437466
"70018","Si Ma Cai","Lao Cai",74.0871148852872,194.213764159287
"70019","Cao Bang","Cao Bang",99.3677404117622,226.191619775515
"70020","Nguyen Binh","Cao Bang",74.3156775082399,228.993195427711
"70021","Xin Man","Ha Giang",116.946672133488,245.189513081232
"70022","Phong Tho","Lai Chau",97.2306614122301,248.876661945536
"70023","Pac Nam","Bac Kan",117.738722662095,250.060032193086
"70024","Bat Xat","Lao Cai",42.7384135911209,195.198041104591
"70025","Phuc Hoa","Cao Bang",86.7397618117114,266.391667296179
"70027","Bac Ha","Lao Cai",47.1182500468144,166.588078360998
"70028","Thach An","Cao Bang",110.245539196728,248.147812283977
"70031","Ngan Son","Bac Kan",133.360140349161,197.859108432754
"70032","Lao Cai","Lao Cai",19.5306734781498,150.29866131412
"70033","Ba Be","Bac Kan",122.995112610077,208.646082745499
"70034","Bac Quang","Ha Giang",32.4215282249378,207.057401140607
"70035","Lai Chau","Lai Chau",21.2711680222851,191.673249600775
"70036","Quang Binh","Ha Giang",58.3742424838817,217.949056960083
"70037","Bao Thang","Lao Cai",16.2220970658684,145.287926288241
"70038","Tam Duong","Lai Chau",31.5651140934487,204.975211167671
"70039","Sa Pa","Lao Cai",63.7311902893335,205.258562118443
"70040","Trang Dinh","Lang Son",81.5125597644343,235.580966105281
"70041","Bao Yen","Lao Cai",49.4108728102771,146.142335967495
"70045","Bach Thong","Bac Kan",106.370073950533,166.646130642023
"70046","Cho Don","Bac Kan",77.6522187056115,180.543172377354
"70048","Na Ri","Bac Kan",117.734227542936,181.779974551108
