"","province","y","region","region1","region2","region3"
"1","Ha Giang",22.76659686,"Northeast","Northeast","North/Northeast","North"
"2","Cao Bang",22.74617833,"Northeast","Northeast","North/Northeast","North"
"3","Lao Cai",22.36621285,"Northwest","Northwest","North/Northeast","North"
"4","Lai Chau",22.31788183,"Northwest","Northwest","Northwest","North"
"5","Bac Kan",22.26256361,"Northeast","Northeast","North/Northeast","North"
"6","Tuyen Quang",22.11367633,"Northeast","Northeast","Red River Delta","North"
"7","Lang Son",21.83972947,"Northeast","Northeast","North/Northeast","North"
"8","Yen Bai",21.77769329,"Northwest","Northwest","North/Northeast","North"
"9","Dien Bien",21.71122428,"Northwest","Northwest","Northwest","North"
"10","Thai Nguyen",21.69360533,"Northeast","Northeast","Red River Delta","North"
"11","Vinh Phuc",21.36234503,"Red River Delta","Red River Delta","Red River Delta","North"
"12","Bac Giang",21.35843247,"Northeast","Northeast","Red River Delta","North"
"13","Phu Tho",21.31985075,"Northeast","Northeast","Red River Delta","North"
"14","Quang Ninh",21.23920248,"Northeast","Northeast","Red River Delta","North"
"15","Son La",21.19455213,"Northwest","Northwest","Northwest","North"
"16","Bac Ninh",21.11010458,"Red River Delta","Red River Delta","Red River Delta","North"
"17","Ha Noi",20.99931916,"Red River Delta","Red River Delta","Red River Delta","North"
"18","Hai Duong",20.93097584,"Red River Delta","Red River Delta","Red River Delta","North"
"19","Hung Yen",20.81569335,"Red River Delta","Red River Delta","Red River Delta","North"
"20","Hai Phong",20.80006561,"Red River Delta","Red River Delta","Red River Delta","North"
"21","Hoa Binh",20.68538053,"Northwest","Northwest","Red River Delta","North"
"22","Ha Nam",20.54138287,"Red River Delta","Red River Delta","Red River Delta","North"
"23","Thai Binh",20.50629458,"Red River Delta","Red River Delta","Red River Delta","North"
"24","Nam Dinh",20.26620472,"Red River Delta","Red River Delta","Red River Delta","North"
"25","Ninh Binh",20.22292438,"Red River Delta","Red River Delta","Red River Delta","North"
"26","Thanh Hoa",20.04735757,"North Central","North Central","Red River Delta","North"
"27","Nghe An",19.23729084,"North Central","North Central","North Central","Central"
"28","Ha Tinh",18.29142856,"North Central","North Central","North Central","Central"
"29","Quang Binh",17.53330656,"North Central","North Central","North Central","Central"
"30","Quang Tri",16.74794883,"North Central","North Central","North Central","Central"
"31","Thua Thien - Hue",16.33287932,"North Central","North Central","North Central","Central"
"32","Da Nang",16.17734188,"South Central Coast","South Central Coast","South Central Coast","Central"
"33","Quang Nam",15.59130633,"South Central Coast","South Central Coast","South Central Coast","Central"
"34","Quang Ngai",14.99339497,"South Central Coast","South Central Coast","South Central Coast","Central"
"35","Kon Tum",14.64907257,"Central Highlands","Central Highlands","Central Highlands","Central"
"36","Binh Dinh",14.12484337,"South Central Coast","South Central Coast","South Central Coast","Central"
"37","Gia Lai",13.79894277,"Central Highlands","Central Highlands","Central Highlands","Central"
"38","Phu Yen",13.17038784,"South Central Coast","South Central Coast","South Central Coast","Central"
"39","Dak Lak",12.82583296,"Central Highlands","Central Highlands","Central Highlands","Central"
"40","Dak Nong",12.22917315,"Central Highlands","Central Highlands","Central Highlands","Central"
"41","Binh Phuoc",11.75677267,"Southeast","South","South","South"
"42","Lam Dong",11.75199441,"Central Highlands","Central Highlands","Central Highlands","Central"
"43","Ninh Thuan",11.70654755,"South Central Coast","South Central Coast","South Central Coast","Central"
"44","Khanh Hoa",11.66112505,"South Central Coast","South Central Coast","South Central Coast","Central"
"45","Tay Ninh",11.40564833,"Southeast","South","South","South"
"46","Binh Duong",11.2181149,"Southeast","South","South","South"
"47","Binh Thuan",11.11887496,"South Central Coast","South Central Coast","South","South"
"48","Dong Nai",11.05735306,"Southeast","South","South","South"
"49","TP. Ho Chi Minh",10.74066987,"Southeast","South","South","South"
"50","Long An",10.73112489,"Mekong River Delta","South","South","South"
"51","Dong Thap",10.56552977,"Mekong River Delta","South","South","South"
"52","An Giang",10.51333429,"Mekong River Delta","South","South","South"
"53","Ba Ria - Vung Tau",10.51277701,"Southeast","South","South","South"
"54","Tien Giang",10.39717169,"Mekong River Delta","South","South","South"
"55","Ben Tre",10.12059616,"Mekong River Delta","South","South","South"
"56","Can Tho",10.11558026,"Mekong River Delta","South","South","South"
"57","Vinh Long",10.10272028,"Mekong River Delta","South","South","South"
"58","Kien Giang",9.999952548,"Mekong River Delta","South","South","South"
"59","Tra Vinh",9.798012248,"Mekong River Delta","South","South","South"
"60","Hau Giang",9.785134413,"Mekong River Delta","South","South","South"
"61","Soc Trang",9.560186895,"Mekong River Delta","South","South","South"
"62","Bac Lieu",9.314922078,"Mekong River Delta","South","South","South"
"63","Ca Mau",9.050704675,"Mekong River Delta","South","South","South"
