"provinceid","province","areaid","district","year","month","date","cases","year_useable_from","year_month","population_census","urbanpop_census","ruralpop_census","popdens_census","pop_propurban_census","incidence"
80038,"Dak Lak","70440","Ea Hleo",1998,1,1998-05-16,NA,2000,"1998_1",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,2,1998-06-16,NA,2000,"1998_2",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,3,1998-07-16,NA,2000,"1998_3",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,4,1998-08-16,NA,2000,"1998_4",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,5,1998-09-16,NA,2000,"1998_5",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,6,1998-10-16,NA,2000,"1998_6",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,7,1998-11-16,NA,2000,"1998_7",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,8,1998-12-16,NA,2000,"1998_8",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,9,1999-01-16,NA,2000,"1998_9",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,10,1999-02-16,NA,2000,"1998_10",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,11,1999-03-16,NA,2000,"1998_11",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
80038,"Dak Lak","70440","Ea Hleo",1998,12,1999-04-16,NA,2000,"1998_12",98848.0802765543,16962.6227292347,81885.4575473196,73.7977404113443,0.171602955583732,NA
