"value","mean","sd","lower","median","upper","mode","kld","group","effect","deltawaic","deltadic","deltaLS","clim","lag"
7.8291825,-2.62197256088257,0.656134843826294,-3.91142463535991,-2.62162992760841,-1.33561640656326,-2.62086486816406,3.26658639528317e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
8.773209,-2.31788349151611,0.517297267913818,-3.33435211384866,-2.31765287939519,-1.30363873599397,-2.31713247299194,2.76540469244807e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
9.46903925,-2.09518814086914,0.423702508211136,-2.92763543427662,-2.09503256510752,-1.26437967279262,-2.09467577934265,2.64977030406486e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
10.0345315,-1.9164229631424,0.353724390268326,-2.61129012549971,-1.91632171146293,-1.2227660829649,-1.91608345508575,2.97510588866828e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
10.6856615,-1.71480977535248,0.280558437108994,-2.26584243208746,-1.71476189407281,-1.16455852998361,-1.71463990211487,4.43795824969667e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
11.283995,-1.53609669208527,0.221331939101219,-1.9707148174063,-1.5360872816004,-1.10193949050344,-1.53604912757874,8.08478867313177e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
11.874425,-1.36875534057617,0.171632274985313,-1.7057018865805,-1.36877313462149,-1.03202858792616,-1.36879467964172,1.63286172395322e-07,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
12.4897575,-1.20774412155151,0.130963608622551,-1.46477477392546,-1.20778219122613,-0.950746449438399,-1.20784854888916,3.4157998736204e-07,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
13.1138125,-1.06401407718658,0.103945314884186,-1.26792202349007,-1.06407680104874,-0.859954787189906,-1.06419599056244,6.25497920883384e-07,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
13.702135,-0.954476594924927,0.0929142609238625,-1.1366265546681,-0.95457359215191,-0.771967681141831,-0.954765141010284,7.96225538696494e-07,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
14.33135,-0.875797271728516,0.0930878520011902,-1.05822752385381,-0.875916722909504,-0.692886893916347,-0.87615555524826,6.48037255063459e-07,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
14.9782225,-0.845456600189209,0.0984981805086136,-1.03857515060548,-0.845556033544626,-0.651977468468147,-0.845753014087677,2.95401100450416e-07,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
15.569195,-0.864572167396545,0.103251181542873,-1.06717880048251,-0.864619846705765,-0.661896013636099,-0.864709436893463,4.67339826726269e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
16.196775,-0.887660264968872,0.105381168425083,-1.09458623108678,-0.887660323726886,-0.680927020863809,-0.887651741504669,3.37380751481227e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
16.80836,-0.871643602848053,0.104728050529957,-1.0773282602374,-0.871628362358807,-0.666232594596403,-0.871588468551636,9.0425379836865e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
17.4059,-0.802557110786438,0.102774307131767,-1.0043772238285,-0.802550813628108,-0.600957353893288,-0.802529394626617,7.13437290948289e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
18.03516,-0.715740859508514,0.100181050598621,-0.912468705071153,-0.715734424471756,-0.519229099886866,-0.715712904930115,8.61246076594693e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
18.647805,-0.605211794376373,0.0981170460581779,-0.797899515746177,-0.605201061986788,-0.412759714697936,-0.605170905590057,1.22412905651087e-07,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
19.272975,-0.435464918613434,0.0969215705990791,-0.625777639653532,-0.435463742760094,-0.245333699748858,-0.435453176498413,8.1936142337729e-08,1,"tmean_1",-3144.82100395905,-3154.74397554807,-0.0114232250463702,"tmean","1"
