unique_id,model_filename,model_identifier,candidate,n_models_fitted,mae_oos,rmse_oos
dummy,dummy,dummy,dummy,dummy,dummy,dummy
617393,617393_stempOOS_nb_model_2,62,tmean_coolest,5,8.502695731,35.46121283
557329,557329_stempOOS_nb_model_4,100,urban,5,8.488262962,35.27987768
890863,890863_stempOOS_nb_model_3,135,gravity,5,8.446115328,35.39181713
709928,709928_stempOOS_nb_model_7,31,flushany,5,8.797344717,36.21087991
848943,848943_stempOOS_nb_model_11,83,spei6,5,8.419037168,35.06730047
842257,842257_stempOOS_nb_model_10,94,spei1,5,8.498399151,35.4860358
890863,890863_stempOOS_nb_model_9,141,tmean,5,8.533652757,35.50011951
733759,733759_stempOOS_nb_model_6,42,traffic,5,8.501042271,35.71712393
19000,19000_stempOOS_nb_model_7,127,flushany,5,8.85897097,36.89036954
270445,270445_stempOOS_nb_model_8,8,water,5,8.547004112,35.7071597
557329,557329_stempOOS_nb_model_9,105,tmean,5,8.499613301,35.42798893
733759,733759_stempOOS_nb_model_baseline,48,baseline,5,9.188961421,40.67699386
270445,270445_stempOOS_nb_model_11,11,spei6,5,8.458861127,35.32057831
617393,617393_stempOOS_nb_model_baseline,72,baseline,5,9.178321287,40.55752198
709928,709928_stempOOS_nb_model_3,27,gravity,5,8.428807745,35.44498742
842257,842257_stempOOS_nb_model_4,88,urban,5,8.533688619,35.68733239
557329,557329_stempOOS_nb_model_baseline,108,baseline,5,9.129970068,40.4937934
19000,19000_stempOOS_nb_model_1,121,full,5,8.49093658,35.6492277
709928,709928_stempOOS_nb_model_2,26,tmean_coolest,5,8.561915509,35.72519676
18590,18590_stempOOS_nb_model_5,17,urbanexp10,5,8.658324985,35.99692632
18590,18590_stempOOS_nb_model_8,20,water,5,8.596787314,36.08933494
18590,18590_stempOOS_nb_model_6,18,traffic,5,8.536458686,36.21024335
617526,617526_stempOOS_nb_model_1,49,full,5,8.457969837,35.4906766
896829,896829_stempOOS_nb_model_9,117,tmean,5,8.523286631,35.54592361
890863,890863_stempOOS_nb_model_11,143,spei6,5,8.460037513,35.18968396
270445,270445_stempOOS_nb_model_10,10,spei1,5,8.516024209,35.42508171
848943,848943_stempOOS_nb_model_1,73,full,5,8.437428571,35.13917344
270445,270445_stempOOS_nb_model_5,5,urbanexp10,5,8.603481271,35.58120957
709928,709928_stempOOS_nb_model_10,34,spei1,5,8.521517884,35.27891999
19000,19000_stempOOS_nb_model_9,129,tmean,5,8.519851275,35.6622404
557329,557329_stempOOS_nb_model_8,104,water,5,8.492828827,35.39305572
617393,617393_stempOOS_nb_model_8,68,water,5,8.50405879,35.39763829
18590,18590_stempOOS_nb_model_7,19,flushany,5,8.866701218,36.77983376
617393,617393_stempOOS_nb_model_7,67,flushany,5,8.809563737,36.30033355
890863,890863_stempOOS_nb_model_7,139,flushany,5,8.853758338,36.4564131
270445,270445_stempOOS_nb_model_3,3,gravity,5,8.448072889,35.41291
842257,842257_stempOOS_nb_model_11,95,spei6,5,8.456211396,35.44543271
733759,733759_stempOOS_nb_model_3,39,gravity,5,8.453596729,35.47191808
848943,848943_stempOOS_nb_model_baseline,84,baseline,5,9.182588798,40.66355324
709928,709928_stempOOS_nb_model_9,33,tmean,5,8.526683997,35.4877241
19000,19000_stempOOS_nb_model_3,123,gravity,5,8.449384574,35.71957523
890863,890863_stempOOS_nb_model_5,137,urbanexp10,5,8.63429264,35.60571748
842257,842257_stempOOS_nb_model_baseline,96,baseline,5,9.193867949,40.69537396
270445,270445_stempOOS_nb_model_baseline,12,baseline,5,9.188067794,40.5712885
896829,896829_stempOOS_nb_model_3,111,gravity,5,8.416321477,35.42760181
733759,733759_stempOOS_nb_model_11,47,spei6,5,8.473092202,35.29372677
617526,617526_stempOOS_nb_model_10,58,spei1,5,8.490224451,35.50470005
848943,848943_stempOOS_nb_model_2,74,tmean_coolest,5,8.519736762,35.52022265
617526,617526_stempOOS_nb_model_8,56,water,5,8.535185443,35.88336072
19000,19000_stempOOS_nb_model_5,125,urbanexp10,5,8.653173677,36.05463088
896829,896829_stempOOS_nb_model_5,113,urbanexp10,5,8.584501999,35.58782071
