unique_id,model_filename,model_identifier,candidate,n_models_fitted,mae_oos,rmse_oos
dummy,dummy,dummy,dummy,dummy,dummy,dummy
250395,250395_tempOOS_nb_model_3,58,spei1,5,7.139148436,29.04336574
865108,865108_tempOOS_nb_model_4,34,spei6,5,7.18345514,30.16485893
394283,394283_tempOOS_nb_model_3,3,spei1,5,7.143620394,28.92189682
508058,508058_tempOOS_nb_model_2,7,tmean,5,7.360551063,30.59342183
202646,202646_tempOOS_nb_model_2,12,tmean,5,7.430048552,30.65428003
865108,865108_tempOOS_nb_model_1,31,full,5,7.159940242,29.72351121
402020,402020_tempOOS_nb_model_baseline,25,baseline,5,7.514483701,31.1639497
715401,715401_tempOOS_nb_model_4,29,spei6,5,7.16865081,30.35984853
294211,294211_tempOOS_nb_model_2,37,tmean,5,7.356503238,30.47879657
402020,402020_tempOOS_nb_model_1,21,full,5,7.156909357,29.71021744
215734,215734_tempOOS_nb_model_2,47,tmean,5,7.327999743,30.18999717
215734,215734_tempOOS_nb_model_4,49,spei6,5,7.126878331,29.59021226
715401,715401_tempOOS_nb_model_baseline,30,baseline,5,7.539012853,31.63620713
933064,933064_tempOOS_nb_model_4,54,spei6,5,7.156383774,29.84607245
250395,250395_tempOOS_nb_model_baseline,60,baseline,5,7.508299963,30.94930211
294211,294211_tempOOS_nb_model_3,38,spei1,5,7.18021325,29.51136937
202646,202646_tempOOS_nb_model_baseline,15,baseline,5,7.57908544,31.49117573
508058,508058_tempOOS_nb_model_baseline,10,baseline,5,7.532039925,31.55360122
716462,716462_tempOOS_nb_model_3,43,spei1,5,7.187294613,28.94533851
508058,508058_tempOOS_nb_model_4,9,spei6,5,7.172097081,30.22846018
715401,715401_tempOOS_nb_model_2,27,tmean,5,7.363894721,30.54907239
652377,652377_tempOOS_nb_model_baseline,20,baseline,5,7.534190171,32.11243937
865108,865108_tempOOS_nb_model_baseline,35,baseline,5,7.553041486,31.3634312
933064,933064_tempOOS_nb_model_baseline,55,baseline,5,7.53634091,31.22735562
250395,250395_tempOOS_nb_model_2,57,tmean,5,7.332191799,30.10893873
294211,294211_tempOOS_nb_model_1,36,full,5,7.139498398,29.52412758
933064,933064_tempOOS_nb_model_2,52,tmean,5,7.36571424,30.37028743
933064,933064_tempOOS_nb_model_3,53,spei1,5,7.174008536,29.5004571
716462,716462_tempOOS_nb_model_4,44,spei6,5,7.176260399,29.34836432
294211,294211_tempOOS_nb_model_4,39,spei6,5,7.164429655,30.10284514
508058,508058_tempOOS_nb_model_1,6,full,5,7.150815994,29.8835586
402020,402020_tempOOS_nb_model_3,23,spei1,5,7.183463982,29.66274464
394283,394283_tempOOS_nb_model_baseline,5,baseline,5,7.482710678,30.73728692
715401,715401_tempOOS_nb_model_3,28,spei1,5,7.184496687,29.69125266
865108,865108_tempOOS_nb_model_3,33,spei1,5,7.185070136,29.55670911
716462,716462_tempOOS_nb_model_2,42,tmean,5,7.374738313,29.74629641
716462,716462_tempOOS_nb_model_baseline,45,baseline,5,7.534339717,30.56163064
402020,402020_tempOOS_nb_model_2,22,tmean,5,7.356702289,30.33028034
215734,215734_tempOOS_nb_model_baseline,50,baseline,5,7.510326553,31.15449034
508058,508058_tempOOS_nb_model_3,8,spei1,5,7.188703532,29.88035075
250395,250395_tempOOS_nb_model_1,56,full,5,7.108819084,29.20412227
294211,294211_tempOOS_nb_model_baseline,40,baseline,5,7.537674988,31.6320078
250395,250395_tempOOS_nb_model_4,59,spei6,5,7.134015835,29.65664847
394283,394283_tempOOS_nb_model_1,1,full,5,7.114111094,29.11864942
716462,716462_tempOOS_nb_model_1,41,full,5,7.161054574,29.00787047
715401,715401_tempOOS_nb_model_1,26,full,5,7.140499677,29.78792091
652377,652377_tempOOS_nb_model_2,17,tmean,5,7.354338268,31.12282715
394283,394283_tempOOS_nb_model_4,4,spei6,5,7.137361078,29.62651326
202646,202646_tempOOS_nb_model_1,11,full,5,7.216642465,30.03615916
865108,865108_tempOOS_nb_model_2,32,tmean,5,7.38391345,30.55712133
394283,394283_tempOOS_nb_model_2,2,tmean,5,7.311795908,29.72203634
202646,202646_tempOOS_nb_model_3,13,spei1,5,7.242917606,30.01567642
202646,202646_tempOOS_nb_model_4,14,spei6,5,7.231986319,30.38873737
652377,"652377_tempOOS_nb_model_3",18,"spei1",4,7.18419959351902,30.973442634454
215734,"215734_tempOOS_nb_model_3",48,"spei1",5,7.13889779106027,28.9717624905119
652377,"652377_tempOOS_nb_model_4",19,"spei6",5,7.15015493104107,30.6982545376992
402020,"402020_tempOOS_nb_model_4",24,"spei6",5,7.17240710368554,30.0086032804858
652377,"652377_tempOOS_nb_model_1",16,"full",4,7.08727446356632,28.1995795011992
215734,"215734_tempOOS_nb_model_1",46,"full",5,7.10524265395224,29.0556474934998
