"modid","fx","candidate","formula","unique_id","model_filename","model_identifier"
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",394283,"394283_tempOOS_nb_model_1",1
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",394283,"394283_tempOOS_nb_model_2",2
"3","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei1","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",394283,"394283_tempOOS_nb_model_3",3
"4","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei6","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",394283,"394283_tempOOS_nb_model_4",4
"baseline","baseline","baseline","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2)",394283,"394283_tempOOS_nb_model_baseline",5
"1","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","full","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",508058,"508058_tempOOS_nb_model_1",6
"2","f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","tmean","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",508058,"508058_tempOOS_nb_model_2",7
"3","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei1","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei6_5m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",508058,"508058_tempOOS_nb_model_3",8
"4","f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)","spei6","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2) + f(tmean_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(spei1_1m_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + tmean_coolestmonth_s + gravityf_log + urban_s + urbanexp10_log + traffic_kmperinhab_log + f(flushany_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE) + f(water_g, model='rw2', hyper=hyper2.rw, scale.model=TRUE, constr=TRUE)",508058,"508058_tempOOS_nb_model_4",9
"baseline","baseline","baseline","y ~ 1 + offset(logpop) + f(month, model='rw1', hyper=hyper2.rw, cyclic=TRUE, scale.model=TRUE, constr=TRUE, replicate=provincex) + f(polyid, model='bym2', graph=nbmatrix_name, replicate=yearx, scale.model=TRUE, constr=TRUE, adjust.for.con.comp=TRUE, hyper=hyper.bym2)",508058,"508058_tempOOS_nb_model_baseline",10
